# Colour mapping wheel, version 0.3.
#
# Every tile, where it is, and nothing else. This file is the wheel.
#
# **The wheel's version is not the mapping version.** The key stamps say which
# colour rule drew a mark and are integers, 0 through 3. This is the version of
# the tricolour arrangement -- which three squares stand for which stretch of
# the draw -- and it moves when a tile moves. Version 3 of the colour rule and
# version 0.3 of the wheel are different numbers about different things that
# happen to have arrived together.
#
# **One file, and all 165 in it.** `hand.tsv` held only what had been argued
# about -- the ring, the handful moved between tiers, and the rejected set --
# and the other 34 were placed by the packer falling through to its default.
# Nothing was lost that way, because the packing is deterministic and the wheel
# redrew identically. But the file did not *say* where a third of the tiles
# were, so it could not be read as the record of what was decided, and
# `purple purple white` sat in a tier with its argument written down in
# `perceptual.py` and no line here at all. Every tile now has a line.
#
# **The number is the position, and the position is clockwise from the top.**
# It was the triple's index in the palette enumeration, which no render could
# move -- the right choice while the ring was still being settled, when a note
# saying "promote #143" had to still mean that by the time the next picture
# came back. The ring is closed now, 360 of 360 with nothing spare, so the
# churn that protected against cannot happen, and a number is free to do the
# more useful job of telling you where to look. The ring is 1 to 63 and walks
# the hue circle; the tiers behind it follow, outward-in and clockwise within
# each; then the three sunk bands in the order they are drawn; then the six
# that average to a neutral and have no place at all.
#
# **The triple is on the line, so the number does not have to be trusted.**
# Keying by number alone was what stopped a triple being transcribed onto the
# wrong tile, and that protection is kept by carrying both: the engine reads
# the names, and the number is checked against the line it sits on. If the two
# disagree the file says so rather than drawing something wrong.
#
# To move a tile, change its angle. To renumber after moving one, sort.
#
#   ring <deg>    on the ring, at that angle
#   tier          off the ring, wherever the packing puts it
#   eject         off the ring by decision rather than for want of room
#   in / out <k>  off the ring, k tiers deeper / further out than that
#   sink <deg>    rejected outright; the band is read off the colour
#   hueless       averages to a neutral, so there is no hue to stand on
#
#  n	verdict	where	triple
62	ring	352.376	red red purple
63	ring	358.376	orange purple brown
64	eject	--	yellow purple black
65	tier	--	red red white
66	tier	--	orange green purple
67	tier	--	red orange white
68	tier	--	orange black white
69	tier	--	orange orange white
70	out	1	orange orange brown
71	tier	--	orange orange orange
72	out	1	red orange yellow
73	tier	--	orange orange yellow
74	out	1	yellow brown brown
75	tier	--	yellow black white
76	tier	--	yellow black black
77	tier	--	orange green white
78	tier	--	yellow yellow green
79	tier	--	green brown white
80	eject	--	green black black
81	tier	--	green blue purple
82	tier	--	blue blue brown
83	out	1	blue brown white
84	tier	--	green purple purple
85	eject	--	orange blue blue
86	tier	--	purple purple white
87	out	1	red blue white
88	tier	--	orange purple purple
89	tier	--	red purple white
90	tier	--	orange purple black
91	tier	--	red orange blue
92	tier	--	red yellow purple
93	tier	--	orange yellow purple
94	tier	--	orange brown white
95	tier	--	orange brown brown
96	tier	--	red yellow white
97	tier	--	red yellow black
98	tier	--	red yellow yellow
99	tier	--	orange orange green
100	tier	--	orange green brown
101	tier	--	blue blue white
102	tier	--	blue brown black
103	out	1	red blue black
104	tier	--	yellow purple purple
105	tier	--	yellow purple brown
106	tier	--	orange brown black
107	in	1	red orange green
108	in	1	yellow yellow purple
109	in	1	yellow brown white
110	in	3	yellow yellow yellow
111	sink	1.062	yellow blue black
112	sink	11.000	yellow blue brown
113	sink	17.000	orange orange blue
114	sink	23.000	red yellow blue
115	sink	40.729	brown brown white
116	sink	78.625	red red green
117	sink	105.188	red green brown
118	sink	160.083	red green green
119	sink	201.300	green green purple
120	sink	261.924	yellow blue blue
121	sink	298.521	orange blue purple
122	sink	306.521	yellow blue purple
123	sink	314.521	red green blue
124	sink	339.250	red green purple
125	sink	347.250	orange blue brown
126	sink	6.729	yellow purple white
127	sink	12.729	brown white white
128	sink	16.729	red white white
129	sink	45.688	orange yellow blue
130	sink	51.688	orange white white
131	sink	85.000	yellow yellow blue
132	sink	91.000	orange yellow white
133	sink	99.521	yellow white white
134	sink	105.521	yellow green purple
135	sink	113.521	red green white
136	sink	119.521	yellow yellow white
137	sink	125.521	red yellow green
138	sink	176.633	yellow green blue
139	sink	191.656	green white white
140	sink	237.342	green purple white
141	sink	243.699	blue white white
142	sink	287.396	purple white white
143	sink	329.896	orange blue white
144	sink	347.250	orange purple white
145	sink	355.250	yellow blue white
146	sink	29.396	brown black white
147	sink	35.396	red black black
148	sink	41.396	red brown black
149	sink	51.000	brown black black
150	sink	55.000	brown brown black
151	sink	57.500	brown brown brown
152	sink	71.188	orange black black
153	sink	116.521	red green black
154	sink	233.241	green purple black
155	sink	239.241	blue black black
156	sink	286.333	blue brown brown
157	sink	290.333	purple black black
158	sink	309.354	purple brown black
159	sink	332.375	orange blue black
160	hueless	--	orange green blue
161	hueless	--	green purple brown
162	hueless	--	black black white
163	hueless	--	black white white
164	hueless	--	white white white
165	hueless	--	black black black
